verb	frequency
was	2167
had	1731
is	1584
have	1521
were	1155
are	1118
be	1100
said	883
did	761
do	681
has	679
went	628
go	558
come	545
let	538
been	494
came	480
take	438
made	425
took	403
see	375
tell	351
am	341
set	324
answered	300
give	293
make	281
saw	266
spoke	254
fell	251
left	246
put	233
got	225
know	221
killed	216
say	211
brought	210
gave	207
fight	205
get	198
saying	185
heard	181
sent	177
struck	177
laid	167
stood	165
lay	158
going	156
bring	153
find	152
keep	149
told	149
done	147
speak	138
being	136
drew	135
held	135
stay	135
hear	132
jove	130
reached	124
given	119
think	119
began	117
hold	117
gone	115
kept	115
leave	112
sat	112
sprang	110
having	109
stand	108
taken	107
found	106
kill	106
send	103
fall	102
cried	100
look	98
called	97
led	96
fighting	95
turned	95
hit	93
coming	92
cut	92
live	91
help	90
lying	88
threw	87
return	86
eat	85
bore	84
looking	84
lie	82
raised	82
drink	81
save	80
drive	78
flew	77
rose	77
caught	76
drove	76
want	76
knew	75
turn	74
bear	73
bid	71
ask	70
making	70
stayed	70
comes	69
fallen	69
looked	68
bade	67
draw	67
fly	67
filled	64
gathered	64
show	64
prayed	63
seen	63
sit	63
wounded	61
replied	60
break	59
covered	59
slain	59
taking	59
carried	57
does	56
bound	55
doing	55
fought	55
lost	55
call	53
beat	52
born	52
followed	52
offered	52
escape	51
killing	51
pray	51
sitting	51
getting	50
giving	50
shouted	50
used	50
driven	49
flying	49
reach	49
die	48
listen	48
weeping	47
bearing	46
broke	46
grant	46
try	46
trying	46
built	45
carry	45
ran	45
wish	45
meet	44
seeing	44
flung	43
passed	43
sleep	43
talk	43
thought	43
wept	43
fear	42
like	42
washed	40
dare	39
living	39
run	39
whereon	39
lived	38
sped	38
talking	38
learn	37
leaving	37
lifted	37
rang	37
spoken	37
aimed	36
face	36
marry	36
met	36
running	36
attack	35
dwell	35
eating	35
wash	35
become	34
offer	34
poured	34
protect	34
saved	34
suffered	34
gleaming	33
sail	33
standing	33
borne	32
deemed	32
fetch	32
lies	32
sacked	32
wanted	32
bringing	31
closed	31
hung	31
makes	31
mean	31
praying	31
driving	30
fled	30
forget	30
knows	30
shed	30
thrown	30
wait	30
appeared	29
asked	29
defend	29
holding	29
loved	29
slew	29
smote	29
spread	29
throw	29
burning	28
hurled	28
keeping	28
pay	28
perished	28
placed	28
tore	28
waiting	28
care	27
clad	27
crying	27
died	27
goes	27
handed	27
hide	27
married	27
sailed	27
swear	27
wrought	27
fingered	26
follow	26
hope	26
rosy-	26
speaking	26
win	26
blessed	25
happened	25
remember	25
sleeping	25
turning	25
avenge	24
broken	24
converse	24
groaning	24
lashed	24
seems	24
slay	24
stripped	24
suffer	24
became	23
begin	23
fail	23
gather	23
perish	23
received	23
remain	23
returned	23
round	23
sack	23
seized	23
sing	23
slept	23
tried	23
vouchsafe	23
cease	22
consider	22
cry	22
grow	22
join	22
need	22
pierced	22
roused	22
string	22
strip	22
takes	22
divided	21
grasped	21
grew	21
honoured	21
lose	21
missed	21
mixed	21
moved	21
opened	21
pass	21
raise	21
rushed	21
seem	21
setting	21
thinking	21
burned	20
darted	20
drawn	20
eaten	20
joined	20
pressed	20
promised	20
rebuked	20
says	20
seated	20
showed	20
understand	20
vouchsafed	20
anointed	19
choose	19
dragging	19
drawing	19
dropped	19
endowed	19
feared	19
forced	19
gives	19
prove	19
robbed	19
served	19
spring	19
yield	19
accept	18
addressed	18
ate	18
beaten	18
besought	18
dwelt	18
escaped	18
exclaimed	18
fed	18
grieve	18
marvelled	18
paid	18
smiled	18
stretched	18
suppose	18
treated	18
begging	17
beheld	17
charge	17
close	17
cross	17
embrace	17
failed	17
grieving	17
grown	17
hidden	17
laughed	17
lead	17
lives	17
overcome	17
paying	17
persuade	17
sacrifice	17
sees	17
shook	17
urge	17
battle-	16
believe	16
cast	16
chosen	16
dying	16
felt	16
growing	16
hate	16
kissed	16
move	16
named	16
please	16
regards	16
rising	16
seemed	16
stricken	16
strike	16
stuck	16
treat	16
urged	16
vaunted	16
visit	16
waited	16
worn	16
yoked	16
burn	15
calling	15
commanded	15
cover	15
entered	15
finished	15
frightened	15
helping	15
hurried	15
leading	15
leaning	15
meant	15
mounted	15
mourned	15
obeyed	15
putting	15
refuse	15
sends	15
shoot	15
shouting	15
shown	15
wanting	15
weep	15
wrapped	15
armed	14
bury	14
cheering	14
chose	14
destroy	14
devour	14
falling	14
flowing	14
girded	14
happen	14
hid	14
ill-	14
keeps	14
known	14
lift	14
lit	14
love	14
miss	14
mixing	14
obey	14
prepare	14
prevent	14
rattling	14
remained	14
thrust	14
won	14
working	14
wound	14
attend	13
beginning	13
blame	13
bred	13
carrying	13
cheered	13
deal	13
dismayed	13
doomed	13
dressed	13
expect	13
feasted	13
feed	13
fitted	13
forgotten	13
gain	13
letting	13
loosed	13
mourn	13
picked	13
pierce	13
quit	13
raged	13
raging	13
rue	13
settle	13
shot	13
spare	13
speared	13
swore	13
throwing	13
wear	13
wore	13
worked	13
advise	12
asking	12
avoid	12
be--	12
bidding	12
bind	12
ceasing	12
changed	12
