identifier	question
homer-iliad-850_07	"What would you have,"said he,"daughter of great Jove, that your proud spirit has sent you hither from Olympus?
homer-iliad-850_07	Have you no pity upon the Trojans, and would you incline the scales of victory in favour of the Danaans?
homer-iliad-850_07	How would it not grieve him could he hear of them as now quailing before Hector?
homer-iliad-850_07	Jove was displeased and answered,"What, O shaker of the earth, are you talking about?
homer-iliad-850_07	See you not how the Achaeans have built a wall about their ships and driven a trench all round it, without offering hecatombs to the gods?
homer-iliad-850_07	Tell me, then, how do you propose to end this present fighting?"
homer-iliad-850_06	"Who, my good sir,"said he,"who are you among men?
homer-iliad-850_06	And the son of Hippolochus answered,"son of Tydeus, why ask me of my lineage?
homer-iliad-850_06	Are the Achaeans, woe betide them, pressing you hard about the city that you have thought fit to come and uplift your hands to Jove from the citadel?
homer-iliad-850_06	Has, then, your house fared so well at the hands of the Trojans?
homer-iliad-850_06	She took his hand within her own and said,"My son, why have you left the battle to come hither?
homer-iliad-850_06	Was it to my sisters, or to my brothers''wives?
homer-iliad-850_06	or is she at the temple of Minerva where the other women are propitiating the awful goddess?"
homer-iliad-850_09	Are the sons of Atreus the only men in the world who love their wives?
homer-iliad-850_09	Sir, think you that the sons of the Achaeans are indeed as unwarlike and cowardly as you say they are?
homer-iliad-850_09	Tell me, Ulysses,"said he,"will he save the ships from burning, or did he refuse, and is he still furious?"
homer-iliad-850_09	Was it not for the sake of Helen?
homer-iliad-850_09	What made the son of Atreus gather the host and bring them?
homer-iliad-850_09	Who can be other than dismayed?
homer-iliad-850_09	Why, pray, must the Argives needs fight the Trojans?
homer-iliad-850_01	"Dread son of Saturn,"answered Juno,"what are you talking about?
homer-iliad-850_01	Achilles drew a deep sigh and said,"You know it; why tell you what you know well already?
homer-iliad-850_01	And Achilles answered,"Most noble son of Atreus, covetous beyond all mankind, how shall the Achaeans find you another prize?
homer-iliad-850_01	And which of the gods was it that set them on to quarrel?
homer-iliad-850_01	Are you to keep your own prize, while I sit tamely under my loss and give up the girl at your bidding?
homer-iliad-850_01	Granted that the gods have made him a great warrior, have they also given him the right to speak with railing?"
homer-iliad-850_01	I?
homer-iliad-850_01	Pry and ask questions?
homer-iliad-850_01	To see the pride of Agamemnon, son of Atreus?
homer-iliad-850_01	Trickster,"she cried,"which of the gods have you been taking into your counsels now?
homer-iliad-850_01	Was it not heaven that made you so?
homer-iliad-850_01	What is it that grieves you?
homer-iliad-850_01	What though you be brave?
homer-iliad-850_01	Why are you here,"said he,"daughter of aegis- bearing Jove?
homer-iliad-850_01	With what heart can any of the Achaeans do your bidding, either on foray or in open fighting?
homer-iliad-850_02	"Agamemnon,"he cried,"what ails you now, and what more do you want?
homer-iliad-850_02	How dare you gibe at Agamemnon because the Danaans have awarded him so many prizes?
homer-iliad-850_02	Shall our counsels be flung into the fire, with our drink- offerings and the right hands of fellowship wherein we have put our trust?
