trigram	frequency
the son of	390
of the achaeans	210
the house of	133
son of atreus	129
son of peleus	106
out of the	102
as he spoke	97
as soon as	93
as he was	92
even so did	91
son of tydeus	85
for he was	83
to the ships	79
of the trojans	78
on to the	74
in the house	73
son of saturn	72
when they had	70
to the ground	70
to the house	68
when he had	68
the trojans and	67
ships of the	64
the city of	63
the ships of	63
in front of	63
the body of	62
thus did he	62
the hands of	60
him in the	58
one of the	58
he spoke he	55
up to him	54
the sons of	54
back to the	54
house of hades	52
one of them	52
there is no	50
the middle of	48
at the ships	48
there was a	48
i can not	47
the old man	47
of the son	47
with these words	47
son of telamon	46
all of them	46
to his own	46
of the fight	45
the hand of	45
of the gods	45
that you are	44
him as he	44
the top of	44
to him and	44
so that he	44
that i may	43
of the sea	42
him and said	42
and the other	41
of the river	41
i will tell	40
as he had	40
i do not	40
son of priam	40
in his own	40
that you have	40
by the hand	40
away from the	39
and i will	39
it will be	39
there is a	38
of the argives	38
for it is	38
will tell you	38
ajax son of	38
came up to	38
as though he	38
noble son of	37
of the sun	37
eat and drink	37
the death of	37
so long as	37
went back to	37
went up to	37
so did the	37
when he was	37
trojans and achaeans	37
that we may	36
to the trojans	36
did he speak	36
into the sea	36
go to the	36
and said to	35
of all the	35
the first to	35
to do so	34
him on the	34
these words he	34
that he might	33
upon the ground	33
though he were	33
on the other	33
sons of the	33
the rest of	33
came to the	32
in the middle	32
i will not	32
close up to	31
to eat and	31
thus did they	31
when she had	31
for he had	31
from his chariot	31
when he saw	31
soon as they	31
in spite of	30
when i was	30
so as to	30
and all the	30
that he is	30
that you may	30
with one another	30
the heart of	30
the ships and	30
with a spear	30
for he is	30
if you will	29
among the trojans	29
it is not	29
in this way	29
he did not	29
he did so	29
middle of the	29
of the house	29
that he was	28
i am not	28
as he did	28
i will give	28
front of the	28
the other gods	28
him with his	28
that i have	28
lord of the	28
and to the	28
and the trojans	28
him with a	28
that he had	28
to go to	27
son of menoetius	27
hands of the	27
part of the	27
of the danaans	27
he said to	27
went to the	27
i should have	27
as i am	27
and in the	27
from the ships	27
all the time	27
on this he	27
in the dust	27
that he may	26
as they had	26
that he should	26
would have been	26
led the way	26
be able to	26
but when the	26
was the first	26
when they were	26
on the ground	26
him of his	26
and he was	26
soon as he	26
will give you	26
and tell me	26
each one of	25
to the city	25
which he had	25
with his spear	25
they reached the	25
all the gods	25
any of the	25
son of laertes	25
i have been	25
into the house	25
the place where	25
and do not	25
the land of	25
of the battle	25
and when they	25
as fast as	24
all of you	24
in his hand	24
the two ajaxes	24
each of them	24
the child of	24
hector son of	24
while he was	24
the outer court	24
did they converse	24
he fell heavily	23
who had been	23
to the other	23
when they saw	23
of his armour	23
him to the	23
in the end	23
him by the	23
a man of	23
when they reached	23
an end of	23
his head and	23
of the spear	23
with a loud	23
of my own	23
i want to	23
with this he	23
all round it	23
to be a	23
those who were	23
and the son	23
i am in	22
to the gods	22
of his own	22
gods and men	22
the ground and	22
i will go	22
the achaeans were	22
the point of	22
he had been	22
had given him	22
for you are	22
father and mother	22
heavily to the	22
he would have	22
that the achaeans	22
there was no	22
the side of	22
down upon the	22
over the sea	22
on this the	21
and the people	21
upon the sea	21
enough to eat	21
the other side	21
up to the	21
any one else	21
him from the	21
on the top	21
about among the	21
as for the	21
when he heard	21
and the achaeans	21
city of priam	21
for it was	21
his hands and	21
when the child	21
fell heavily to	21
they had had	21
on either side	21
the lord of	21
of the suitors	21
child of morning	21
not one of	21
so that the	20
who was the	20
but the son	20
no matter how	20
he was a	20
for the gods	20
with might and	20
rest of the	20
as he fell	20
you will not	20
it is a	20
the end of	20
under cover of	20
waters of the	20
both of them	20
him when he	20
and on the	20
to one another	20
will not be	20
of those who	20
was first to	20
at one another	20
as she spoke	20
as long as	20
side of the	20
at him and	20
towards the ships	20
took his seat	20
as you are	20
by his side	19
of the earthquake	19
the face of	19
upon the plain	19
that i am	19
the sea shore	19
was in the	19
end of the	19
the blessed gods	19
other of the	19
had had enough	19
and took his	19
might and main	19
the ranks of	19
back to his	19
down to the	19
so much as	19
you can not	19
captain of the	19
went right through	19
the ghost of	19
two sons of	19
and there is	19
host of the	19
as they were	19
the darkness of	19
among the foremost	19
the daughter of	19
though he was	19
i shall not	19
had enough to	19
the midst of	19
his own house	19
for i am	19
as it were	18
for i have	18
wall of the	18
to the suitors	18
that he would	18
of the phaeacians	18
when you have	18
the gods in	18
the achaeans will	18
first to speak	18
the achaeans to	18
down into the	18
come to the	18
a loud cry	18
to the son	18
if you are	18
tell me true	18
the loss of	18
by the ships	18
of gods and	18
they came to	18
when he is	18
go back to	18
the whole world	18
said to the	18
man of the	18
over the plain	18
for there is	18
of the other	18
that had been	18
sons of atreus	18
than you are	18
that i should	18
in your house	18
into the water	17
to take the	17
out of his	17
the thick of	17
them in the	17
in the likeness	17
as far as	17
i tell you	17
in the front	17
at once and	17
in the midst	17
do as i	17
were a god	17
when you were	17
city of the	17
the bravest of	17
in the whole	17
when i had	17
on the day	17
me to the	17
agamemnon son of	17
and the two	17
you are to	17
city of ilius	17
king of men	17
to all the	17
you are a	17
for they were	17
and when he	17
upon the mountains	17
to be the	17
you will find	17
the gods have	17
and with the	17
the achaeans and	17
his chariot and	17
and he will	17
and by the	17
banks of the	17
it would be	17
but tell me	16
son of oileus	16
the immortal gods	16
the sight of	16
as though i	16
them from the	16
a long way	16
this is the	16
he would not	16
he could not	16
that the trojans	16
i would not	16
his own country	16
the gods are	16
this is what	16
struck him in	16
but i will	16
and went to	16
in a body	16
went on board	16
that he has	16
at the same	16
back into the	16
he took his	16
among the achaeans	16
he had said	16
the waters of	16
way to the	16
hector and the	16
where he was	16
the banks of	16
and at the	16
to your own	16
why do you	16
of his men	16
that you will	16
you would have	16
to the town	16
upon the trojans	16
on his way	16
one or other	16
and began to	16
he were a	16
you have been	16
at the hands	16
when the sun	16
they took their	16
to the place	16
you shall not	16
land of the	16
you have said	16
some one of	16
and it is	16
it may be	16
that i shall	16
of the immortals	16
by and by	16
the host of	16
it was that	15
give me a	15
in the world	15
as it is	15
and of the	15
for all the	15
the house and	15
a piece of	15
all about it	15
the head of	15
the suitors were	15
went about among	15
the best man	15
laid their hands	15
though he be	15
he was thus	15
at their ships	15
you talking about	15
would that i	15
in his hands	15
for there was	15
then he said	15
this was what	15
would not let	15
though i were	15
the race of	15
on their armour	15
sprang from his	15
if i can	15
that we have	15
out to sea	15
held their peace	15
that i had	15
the day when	15
then and there	15
you will have	15
so that all	15
to the sea	15
i could not	15
thus did the	15
and there was	15
of his people	15
much as a	15
are you talking	15
it had been	15
to the ship	15
you may be	15
within the house	15
as i say	15
of the cloister	15
the spear went	15
things that were	15
the likeness of	15
all that you	15
the achaeans are	15
of my father	14
bravest of the	14
body of patroclus	14
the gates of	14
hither and thither	14
were before them	14
they laid their	14
on one another	14
about the house	14
the spear of	14
every one of	14
on the plain	14
the same time	14
i will now	14
they had done	14
go to bed	14
house of ulysses	14
it were a	14
to their own	14
that you should	14
princes of the	14
shepherd of his	14
good things that	14
in my own	14
the going down	14
among the argives	14
top of the	14
to my own	14
they all held	14
every man his	14
the trojans were	14
as though it	14
when it is	14
the best of	14
in charge of	14
down of the	14
of them all	14
about his shoulders	14
why should you	14
the return of	14
was glad when	14
all held their	14
and they did	14
or other of	14
knight of gerene	14
going down of	14
